origins,destination,date,volume,waterFillHours,waterFillMinutes,waterDeliverHours,waterDeliverMinutes
WTP,Kantor KIPI,2023-10-26,2500,14,25,23,43
WTP,Bedeng_KAI_Indo,2023-10-12,4250,18,20,19,43
